Geneid	ENCFF630HEX_Total_RNAseq_K562.bam
AC114495.1	1
NKAIN1	2
SNRNP40	6118
AC114495.2	33
ZCCHC17	2187
AL451070.1	0
FABP3	0
SERINC2	21
AC209007.1	0
RNU6-40P	0
LINC01225	1
LINC01226	4
AC114488.1	0
TINAGL1	6
HCRTR1	0
PEF1	1481
AC114488.2	2
AC114488.3	0
COL16A1	1
ADGRB2	10
MIR4254	0
AL354919.2	0
SPOCD1	16
AL354919.1	0
AL136115.2	16
PTP4A2	14812
AL136115.1	0
AL136115.3	0
KHDRBS1	3011
AL445248.1	0
TMEM39B	271
MIR5585	0
KPNA6	3153
AL049795.2	0
TXLNA	5000
CCDC28B	1048
AL049795.1	23
IQCC	474
DCDC2B	1
TMEM234	307
EIF3I	15339
MTMR9LP	1
FAM167B	0
LCK	3
HDAC1	8826
MARCKSL1	1824
AL109945.1	1
TSSK3	25
FAM229A	261
BSDC1	3809
GAPDHP20	0
AL356986.1	0
LRRC37A12P	0
RN7SL122P	0
AL033529.1	0
ZBTB8B	3
ZBTB8A	7
ZBTB8OS	1150
RBBP4	8876
SYNC	71
AC114489.1	3
KIAA1522	514
YARS	12583
S100PBP	2022
FNDC5	5
HPCA	0
TMEM54	177
RNF19B	505
AL031602.1	0
AL355864.1	0
AL355864.2	0
AL020995.1	0
AK2	13700
AZIN2	9
AL662907.1	1
TRIM62	31
AL662907.2	0
AL662907.3	0
ZNF362	12
AL513327.3	1
A3GALT2	1
AL513327.1	0
PHC2	1822
MIR3605	2
RN7SKP16	1
AL513327.2	14
TLR12P	0
ZSCAN20	236
AC115285.1	0
CSMD2	1
HSPD1P14	0
HMGB4	0
CSMD2-AS1	0
RNA5SP42	0
C1orf94	0
AC115286.1	0
MIR552	0
SMIM12	1936
GJB5	0
GJB4	0
AL121988.1	1
GJB3	0
GJA4	2
AL122010.1	0
DLGAP3	1
AC114490.3	12
AC114490.1	12
AC114490.2	0
TMEM35B	30
ZMYM6	466
RPL12P45	0
ZMYM1	961
EFCAB14P1	0
AL590434.1	0
SFPQ	17274
ZMYM4	4727
RN7SL503P	0
RF00091	5
RPL5P4	27
ZMYM4-AS1	1
KIAA0319L	2102
AC004865.1	0
NCDN	898
AC004865.2	5
TFAP2E	2
PSMB2	4711
C1orf216	1069
CLSPN	3018
AL354864.1	2
AGO4	977
AGO1	5090
AL139286.1	0
AL139286.2	3
AGO3	1982
AL138787.2	0
AL138787.1	2
TEKT2	6
ADPRHL2	1167
COL8A2	1
TRAPPC3	2884
MAP7D1	1246
RN7SL131P	0
THRAP3	7207
UBE2V2P4	0
SH3D21	114
EVA1B	373
AL591845.1	64
STK40	2757
LSM10	444
RNU4-27P	0
OSCP1	3
SNORA63C	0
MRPS15	3158
CSF3R	31
FTLP18	0
AL596257.1	0
AC117945.2	0
AC117945.1	0
GRIK3	0
AL031430.1	0
MIR4255	0
RNU6-636P	0
AL353604.1	0
RNA5SP43	0
RPS29P6	0
LINC01137	22
ZC3H12A	272
MIR6732	0
MEAF6	1842
MIR5581	10
SNIP1	1018
FTH1P1	0
AL034379.1	3
DNALI1	28
GNL2	6070
AL513220.1	0
RSPO1	0
C1orf109	2061
CDCA8	2797
EPHA10	0
ACTN4P2	0
AL929472.1	0
MANEAL	34
AL929472.3	2
YRDC	1880
C1orf122	960
MTF1	243
AL929472.4	0
AL929472.2	5
INPP5B	2062
RF00092	0
RNU6-584P	0
SF3A3	11397
RNU6-510P	1
FHL3	585
UTP11	3987
POU3F1	0
AL139158.2	0
AL139158.1	0
MIR3659	0
AL139158.3	0
LINC01343	0
AL513479.1	0
RNU6-753P	0
LINC01685	1
AL354702.1	0
AL354702.2	45
RRAGC	138
AL139260.2	0
AL139260.1	11
MYCBP	1374
AL139260.3	0
GJA9	0
RHBDL2	0
RNU6-605P	0
EIF1P2	0
AKIRIN1	3725
NDUFS5	7200
MACF1	27323
RNU6-608P	0
RNA5SP44	0
AL356055.1	5
AL442071.1	0
HSPE1P8	0
BMP8A	5
OXCT2P1	0
PPIEL	14
PABPC4	4573
AL365277.1	1
SNORA55	75
HEYL	13
AL035404.2	0
NT5C1A	0
HPCAL4	2
PPIE	2011
AL035404.1	0
RNU7-121P	0
BMP8B	15
OXCT2	0
AL033527.3	15
AL033527.1	0
AL033527.5	13
AL033527.4	0
TRIT1	2959
MYCL	571
AL033527.2	3
MFSD2A	9
AL663070.1	0
CAP1	13172
PPT1	3521
AL512599.1	0
RLF	3054
RNU6-1237P	1
TMCO2	0
AL050341.2	650
ZMPSTE24	3021
AL050341.1	0
COL9A2	86
AL031985.2	0
SMAP2	3900
AL031985.1	0
AL031985.4	1
ZFP69B	206
AL031985.3	52
AL603839.4	7
ZFP69	367
AL603839.3	5
EXO5	100
AL603839.1	0
AL603839.2	0
ZNF684	232
AL356379.1	0
GTF2F2P2	0
RIMS3	169
AL031289.1	13
NFYC-AS1	222
NFYC	1149
MIR30E	1
MIR30C1	5
KCNQ4	46
RN7SL326P	0
CITED4	9
AC119677.1	0
AL391730.1	0
UBE2V1P8	0
CTPS1	2996
SLFNL1-AS1	88
SLFNL1	9
SCMH1	973
RPL23AP17	0
AC093151.3	14
AC093151.1	0
FOXO6	0
AC093151.2	0
RNA5SP45	0
EDN2	0
HIVEP3	16
AL445933.2	0
AL445933.1	0
AC119676.1	0
HNRNPFP1	0
AC114492.1	0
GUCA2B	0
GUCA2A	0
FOXJ3	1239
AC096540.1	0
RIMKLA	1
AL513331.1	0
ZMYND12	0
PPCS	402
CCDC30	15
AL445669.1	0
TMSB4XP1	1
RNU6-536P	0
AL445669.2	1
PPIH	3752
AC098484.2	11
